company_name,stock_name,filing_time,new_product,product_description
ABBOTT LABORATORIES,ABT,2024-05-01,None,Not specified (likely an annual or quarterly report)
ABBOTT LABORATORIES,ABT,2024-04-17,Acceleron,A subcutaneous injectable therapy for adults with severe adult-onset hypoglycemia.
INTUIT INC.,INTU,2024-07-10,And Products,"These factors include, without limitation, the following: our ability to realize the anticipated benefits of the Plan; risks related to the preliminary nature of the estimate of..."
VERIZON COMMUNICATIONS INC,VZ,2025-03-19,Enhanced Mobile Hotspot,Improved mobile hotspot capabilities for enhanced connectivity.
VERIZON COMMUNICATIONS INC,VZ,2024-09-12,CoreOS,Simplified Linux distribution for servers and data centers.
DANAHER CORP /DE/,DHR,2024-10-21,EcoCycle,Smart recycling bin for at-home sorting and tracking of recyclables.
DANAHER CORP /DE/,DHR,2024-04-22,Senior Notes Due 2026,"Series A senior notes due January 1, 2026."
WELLS FARGO & COMPANY/MN,WFC,2025-01-15,Non-Cumulative Perpetual Class APreferred Stock Series Y,Specific stock series Y
WELLS FARGO & COMPANY/MN,WFC,2024-09-12,New Products,"ARTICLE XII    RESTRICTION ON NEW PRODUCTS, SERVICES, AND MARKETS    (1) Within sixty (60) days of the effective date of this Agreement, the Bank shall  submit to the Examiner-i..."
TEXAS INSTRUMENTS INC,TXN,2025-01-23,Our Technology More,"This passion is alive today as each generation of innovation builds upon the last to make our technology more reliable, more affordable and lower power, making it possible for s..."
TEXAS INSTRUMENTS INC,TXN,2024-10-22,Our Technology More,"This passion is alive today as each generation of innovation builds upon the last to make our technology more reliable, more affordable and lower power, making it possible for s..."
TEXAS INSTRUMENTS INC,TXN,2024-07-23,Our Technology More,"This passion is alive today as each generation of innovation builds upon the last to make our technology more reliable, more affordable and lower power, making it possible for s..."
TEXAS INSTRUMENTS INC,TXN,2024-01-23,Our Technology Smaller,"Our passion to create a better world by making electronics more affordable through semiconductors is alive today, as each generation of innovation builds upon the last to make o..."
AMGEN INC,AMGN,2025-02-04,Biotechnology Industry,"More than 40 years ago, Amgen helped to establish the biotechnology industry and remains on the cutting-edge of innovation, using technology and human genetic data to push beyon..."
AMGEN INC,AMGN,2024-08-06,Biotechnology Industry,"More than 40 years ago, Amgen helped to establish the biotechnology industry and remains on the cutting-edge of innovation, using technology and human genetic data to push beyon..."
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025-02-04,Cloud  Products,"4 Transformation and Vision Arvind Krishna Chairman, President and Chief Executive Officer IBM is reshaping how businesses operate 93% of all Fortune 500 companies  leverage IBM..."
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025-01-30,IBM Z15 CPU,New CPU for IBM's z15 mainframe computer
Philip Morris International Inc.,PM,2025-03-07,Pegasus Platform,Next-generation software platform for enhanced data analytics and artificial intelligence capabilities.
Philip Morris International Inc.,PM,2025-03-06,A2.875 Notes due 2026,"Bond with face value $1,250,000 and maturity date of March 15, 2027."
Philip Morris International Inc.,PM,2025-02-06,A2.875Notesdue2026,Notes due in 2026 under the A2.875 terms
RTX Corp,RTX,2025-02-03,And Service To,"We want to thank Greg for his many years of outstanding leadership and service to our company.” “As anticipated, as CEO, Chris Calio has continued to drive RTX growth by focusin..."
HONEYWELL INTERNATIONAL INC,HON,2024-08-01,Honeywell Home T9 Smart Thermostat,Wi-Fi enabled thermostat for smart home automation and energy efficiency.
HONEYWELL INTERNATIONAL INC,HON,2024-07-25,Euro225NotesDue2028,€225 million notes due in 2028
LINDE PLC,LIN,2025-02-06,New Products,"These risks and uncertainties include, without limitation: the performance of stock markets generally; developments in worldwide and national economies and other international e..."
LINDE PLC,LIN,2024-08-02,New Products,"These risks and uncertainties include, without limitation: the performance of stock markets generally; developments in worldwide and national economies and other international e..."
STARBUCKS CORP,SBUX,2025-01-28,Or Product Ingredients,"Our forward-looking statements, and the risks and uncertainties related thereto, include, but are not limited to, those described under the “Risk Factors” and “Management's Disc..."
STARBUCKS CORP,SBUX,2024-10-22,Starbucks Reserve Bar,A new bar experience offering premium drinks and food.
S&P Global Inc.,SPGI,2025-02-11,Investment Products,"administration; ▪ the volatility and health of debt, equity, commodities, energy and automotive markets, including credit quality and spreads, the level of liquidity and future ..."
S&P Global Inc.,SPGI,2024-10-24,Workflow Tools,"The Company continues to serve its customers with world-class benchmarks, data and insights, and workflow tools, while we invest in innovation that will generate growth and crea..."
DEERE & CO,DE,2024-08-15,Deere Products,"Among these factors are risks related to: </p><div style=""margin-top:6pt;""></div><table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;font-family:'A..."
INTUITIVE SURGICAL INC,ISRG,2025-01-15,New Product Approvals,"These forward-looking statements should be considered in light of various important factors, including, but not limited to, the following: completion of the Company’s final clos..."
"ServiceNow, Inc.",NOW,2025-01-29,Workload Automation for Google Cloud Platform,Enhances the ability to automate and manage workloads on Google Cloud Platform.
"GILEAD SCIENCES, INC.",GILD,2025-02-11,Our Products,"These risks and uncertainties include those relating to: Gilead’s ability to achieve its full year 2025 financial guidance, including as a result of the uncertainty of the amoun..."
"Mondelez International, Inc.",MDLZ,2025-02-20,ZeroPointTwoFiftyPercentNotesDue2028,2.5% notes due 2028
"Mondelez International, Inc.",MDLZ,2024-12-03,OnePointSixTwentyFivePercentNotesDue2027,Series A notes due December 2027
STRYKER CORP,SYK,2025-02-19,Senio Unsecured Notes 2.125 Due 2027,Senior unsecured notes with a face value of $10 million due in 2027
STRYKER CORP,SYK,2025-02-10,Stryker,Next-generation spinal fusion system
STRYKER CORP,SYK,2025-02-10,Sironix,A novel drug designed to treat rare genetic disorder
STRYKER CORP,SYK,2025-01-28,SeniorUnsecuredNotes2.125Due2027,"$2,125 unsecured note due in 2027"
AUTOMATIC DATA PROCESSING INC,ADP,2025-01-29,Of Products,Factors that could cause actual results to differ materially from those contemplated by the forward-looking statements or that could contribute to such difference include: ADP's...
"BlackRock, Inc.",BLK,2024-10-01,For Products,"These risk factors and those identified elsewhere in this
press release, among others, could cause actual results to differ materially from forward-looking statements or histori..."
Zoetis Inc.,ZTS,2025-02-13,Chewable Products,Growth in the quarter was partially offset by the impact of initial stocking of Librela and Apoquel Chewable products due to launches in the same quarter of the prior year.
Zoetis Inc.,ZTS,2024-05-24,Or Products,"For purposes of this Letter Agreement, “ Confidential Information ” means information, observations and data concerning the business and affairs of the Company or any of its aff..."
SCHLUMBERGER LIMITED/NV,SLB,2024-04-19,"Capture
Product Offering","Bringing together complementary technology portfolios, leading process design expertise, and an established project delivery platform, the combination will leverage Aker Carbon ..."
Chubb Ltd,CB,2024-10-29,INASeniorNotes,Senior notes due in December 2024 and beyond
BOSTON SCIENTIFIC CORP,BSX,2025-02-26,New Product Introductions,"and global political, competitive, reimbursement and regulatory conditions; geopolitical events; manufacturing, distribution and supply chain disruptions and cost increases; dis..."
BOSTON SCIENTIFIC CORP,BSX,2025-02-05,And Product Performance,"These forward-looking statements include, among other things, statements regarding our expected net sales; reported, operational and organic revenue growth rates; reported and a..."
BOSTON SCIENTIFIC CORP,BSX,2024-11-15,New Product Introductions,"</span></div><div style=""text-align:justify""><span><br/></span></div><div style=""text-align:justify""><span style=""color:#000000;font-family:'Times New Roman',sans-serif;font-siz..."
"T-Mobile US, Inc.",TMUS,2025-02-11,Sprint Solutions,"NSAC, LLC PRWIRELESS PR, LLC PUSHSPRING, LLC SPRINT CAPITAL CORPORATION SPRINT COMMUNICATIONS LLC SPRINT SOLUTIONS LLC SPRINT SPECTRUM REALTY COMPANY, LLC TDI ACQUISITION SUB, L..."
"T-Mobile US, Inc.",TMUS,2025-01-27,Scale Technology Initiatives,"He has successfully driven operational excellence, digital transformation, and customer-centric strategies, with a proven track record of
overseeing large-scale technology initi..."
Aon plc,AON,2025-03-13,Aon Senior Notes Due 2027,Senior debt instrument
KLA CORP,KLAC,2025-01-30,And Services,About KLA: KLA Corporation (“KLA”) develops industry-leading equipment and services that enable innovation throughout the electronics industry.
KLA CORP,KLAC,2024-10-30,And Services,About KLA: KLA Corporation (“KLA”) develops industry-leading equipment and services that enable innovation throughout the electronics industry.
SOUTHERN CO,SO,2025-02-20,"""PowerGrid 2.0""",Upgraded energy management system for Southern Company's power grid infrastructure
SOUTHERN CO,SO,2024-10-31,Electric Vehicle Charging Station,Fast-charging station for electric vehicles
SOUTHERN CO,SO,2024-08-01,Southern Power Reliability Project,A project to enhance the reliability of the Southern Power grid
Trane Technologies plc,TT,2024-02-01,Operating System,"With our focused sustainability strategy, proven business operating system, and relentless investment in future growth and innovation, we are well positioned to continue deliver..."
BECTON DICKINSON & CO,BDX,2025-02-05,BD-VericoVax,mRNA-based COVID-19 vaccine
BECTON DICKINSON & CO,BDX,2025-01-31,Not specified,Not found in the provided text.
